%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1744595715921503549,2.0,0.0,0.0,0.0,0.0,0.0
1744595716162831589,0.0,0.0,0.0,0.0,0.0,-2.0
1744595716658955687,0.0,0.0,0.0,0.0,0.0,-2.0
1744595716686472770,0.0,0.0,0.0,0.0,0.0,-2.0
1744595716718495514,0.0,0.0,0.0,0.0,0.0,-2.0
1744595716752424597,0.0,0.0,0.0,0.0,0.0,-2.0
1744595716791908508,0.0,0.0,0.0,0.0,0.0,-2.0
1744595716806863304,0.0,0.0,0.0,0.0,0.0,-2.0
1744595716843281776,0.0,0.0,0.0,0.0,0.0,-2.0
1744595716879252609,0.0,0.0,0.0,0.0,0.0,-2.0
1744595716921644671,0.0,0.0,0.0,0.0,0.0,-2.0
1744595716934488770,0.0,0.0,0.0,0.0,0.0,-2.0
1744595716977829081,0.0,0.0,0.0,0.0,0.0,-2.0
1744595716993916804,0.0,0.0,0.0,0.0,0.0,-2.0
1744595717032850004,0.0,0.0,0.0,0.0,0.0,-2.0
1744595717065324008,0.0,0.0,0.0,0.0,0.0,-2.0
1744595717098982217,2.0,0.0,0.0,0.0,0.0,0.0
1744595717615911830,2.0,0.0,0.0,0.0,0.0,0.0
1744595717625554193,0.0,0.0,0.0,0.0,0.0,-2.0
1744595718126838105,0.0,0.0,0.0,0.0,0.0,-2.0
1744595718157977703,0.0,0.0,0.0,0.0,0.0,-2.0
1744595718199173170,0.0,0.0,0.0,0.0,0.0,-2.0
1744595718207953328,2.0,0.0,0.0,0.0,0.0,0.0
1744595724314753306,0.0,0.0,0.0,0.0,0.0,2.0
1744595724418624634,2.0,0.0,0.0,0.0,0.0,0.0
1744595724747409147,0.0,0.0,0.0,0.0,0.0,-2.0
1744595725062512776,2.0,0.0,0.0,0.0,0.0,0.0
1744595725169166644,0.0,0.0,0.0,0.0,0.0,-2.0
1744595725359306012,2.0,0.0,0.0,0.0,0.0,0.0
1744595725589990369,0.0,0.0,0.0,0.0,0.0,2.0
1744595725994687158,2.0,0.0,0.0,0.0,0.0,0.0
1744595726371621035,0.0,0.0,0.0,0.0,0.0,2.0
1744595726868286026,0.0,0.0,0.0,0.0,0.0,2.0
1744595726900580878,0.0,0.0,0.0,0.0,0.0,2.0
1744595726927091940,0.0,0.0,0.0,0.0,0.0,2.0
1744595726967834562,0.0,0.0,0.0,0.0,0.0,2.0
1744595727000178304,0.0,0.0,0.0,0.0,0.0,2.0
1744595727027431548,0.0,0.0,0.0,0.0,0.0,2.0
1744595727053489621,0.0,0.0,0.0,0.0,0.0,2.0
1744595727094238128,0.0,0.0,0.0,0.0,0.0,2.0
1744595727119940629,0.0,0.0,0.0,0.0,0.0,2.0
1744595727155799364,0.0,0.0,0.0,0.0,0.0,2.0
1744595727176624127,0.0,0.0,0.0,0.0,0.0,2.0
1744595727199355519,0.0,0.0,0.0,0.0,0.0,2.0
1744595727237015369,0.0,0.0,0.0,0.0,0.0,2.0
1744595727271710892,0.0,0.0,0.0,0.0,0.0,2.0
1744595727293176311,0.0,0.0,0.0,0.0,0.0,2.0
1744595727320957224,0.0,0.0,0.0,0.0,0.0,2.0
1744595727353798128,0.0,0.0,0.0,0.0,0.0,2.0
1744595727388090397,0.0,0.0,0.0,0.0,0.0,2.0
1744595727426346755,0.0,0.0,0.0,0.0,0.0,2.0
1744595727452457453,0.0,0.0,0.0,0.0,0.0,2.0
1744595727469814908,0.0,0.0,0.0,0.0,0.0,2.0
1744595727500045679,0.0,0.0,0.0,0.0,0.0,2.0
1744595727531073249,0.0,0.0,0.0,0.0,0.0,2.0
1744595727559821856,0.0,0.0,0.0,0.0,0.0,2.0
1744595727604885492,0.0,0.0,0.0,0.0,0.0,2.0
1744595727624945063,0.0,0.0,0.0,0.0,0.0,2.0
1744595727650104997,0.0,0.0,0.0,0.0,0.0,2.0
1744595727695684950,0.0,0.0,0.0,0.0,0.0,2.0
1744595727711861515,0.0,0.0,0.0,0.0,0.0,2.0
1744595727744468562,0.0,0.0,0.0,0.0,0.0,2.0
1744595727790570215,0.0,0.0,0.0,0.0,0.0,2.0
1744595727820214005,0.0,0.0,0.0,0.0,0.0,2.0
1744595727848989146,0.0,0.0,0.0,0.0,0.0,2.0
1744595727861102695,2.0,0.0,0.0,0.0,0.0,0.0
1744595728363097162,2.0,0.0,0.0,0.0,0.0,0.0
1744595728404684822,2.0,0.0,0.0,0.0,0.0,0.0
1744595728435221790,2.0,0.0,0.0,0.0,0.0,0.0
1744595728452036792,2.0,0.0,0.0,0.0,0.0,0.0
1744595728488419643,2.0,0.0,0.0,0.0,0.0,0.0
1744595728515568834,2.0,0.0,0.0,0.0,0.0,0.0
1744595728562931580,2.0,0.0,0.0,0.0,0.0,0.0
1744595728587112746,2.0,0.0,0.0,0.0,0.0,0.0
1744595728610229483,2.0,0.0,0.0,0.0,0.0,0.0
1744595728644565550,2.0,0.0,0.0,0.0,0.0,0.0
1744595728679027468,2.0,0.0,0.0,0.0,0.0,0.0
1744595728710570532,2.0,0.0,0.0,0.0,0.0,0.0
1744595728726642955,2.0,0.0,0.0,0.0,0.0,0.0
1744595728762743657,2.0,0.0,0.0,0.0,0.0,0.0
1744595728786969745,2.0,0.0,0.0,0.0,0.0,0.0
1744595728816584118,2.0,0.0,0.0,0.0,0.0,0.0
1744595728855402354,2.0,0.0,0.0,0.0,0.0,0.0
1744595729503735984,0.0,0.0,0.0,0.0,0.0,-2.0
1744595730056624878,0.0,0.0,0.0,0.0,0.0,-2.0
